用户id,游戏1,平台1,游戏2,平台2,游戏3,平台3,游戏4,平台4,游戏5,平台5,游戏6,平台6,游戏7,平台7,游戏8,平台8
541,欢乐水果,爱变现,勇者阿信,聚享游,小猪酷跑,多游,疯狂水果,享玩
542,疯狂水果,爱变现,水果盛宴大狂欢,聚享游,红心斗地主,多游,水果联盟,享玩
543,勇者阿信,爱变现,水果武士,聚享游,疯狂水果,多游,西游战记,享玩
544,触玩斗地主,爱变现,疯狂水果城,聚享游,爱玩斗地主,多游,八向箭头,享玩
545,红心斗地主,爱变现,聚乐斗地主或美女斗地主,聚享游,全民捕鱼电玩城,多游,梦幻水果,享玩
546,醉天下,爱变现,欢乐消水果,聚享游,小猪酷跑,多游,八向箭头,享玩
547,水果武士,爱变现,醉天下,聚享游,欢乐消水果,多游,特工使命,享玩
548,聚乐斗地主或美女斗地主,爱变现,奇奇乐捕鱼,聚享游,红心斗地主,多游,幻想小勇士,享玩
549,暴击联盟,爱变现,爱玩斗地主,聚享游,疯狂的拍打,多游,水果武士,享玩
550,醉天下,爱变现,欢乐水果,聚享游,特工使命,多游,梦幻水果,享玩
551,别吃鸡,爱变现,欢乐水果,聚享游,暴击联盟,多游,水果盛宴大狂欢,享玩
552,欢乐消水果,爱变现,勇者阿信,聚享游,大富翁电玩捕鱼,多游,触玩斗地主,享玩
553,醉天下,爱变现,梦幻水果,聚享游,触玩斗地主,多游,聚乐斗地主或美女斗地主,享玩
554,触玩斗地主,爱变现,欢乐消水果,聚享游,奇奇乐捕鱼,多游,醉天下,享玩
555,聚乐斗地主或美女斗地主,爱变现,疯狂的拍打,聚享游,疯狂水果城,多游,红心斗地主,享玩
556,水果联盟,爱变现,欢乐水果,聚享游,特工使命,享玩,爱玩斗地主,多游
557,天天捕鱼电玩版,爱变现,幻想小勇士,聚享游,水果盛宴大狂欢,享玩,捕鱼来了街机版,多游
558,疯狂水果,爱变现,天天捕鱼电玩版,聚享游,奇奇乐捕鱼,多游,梦幻水果,享玩
559,别吃鸡,爱变现,奇奇乐捕鱼,聚享游,疯狂水果城,享玩,大富翁电玩捕鱼,多游
560,红心斗地主,爱变现,疯狂的拍打,聚享游,八向箭头,享玩,暴击联盟,多游
561,疯狂水果城,爱变现,水果盛宴大狂欢,聚享游,红心斗地主,享玩,水果武士,多游
562,欢乐消水果,爱变现,爱玩斗地主,聚享游,麻小宝,享玩,小猪酷跑,多游
563,红心斗地主,爱变现,天天捕鱼电玩版,聚享游,爱玩斗地主,享玩,水果联盟,多游
564,暴击联盟,爱变现,水果盛宴大狂欢,聚享游,特工使命,享玩,大富翁电玩捕鱼,多游
565,欢乐水果,爱变现,疯狂的拍打,聚享游,幻想小勇士,享玩,暴击联盟,多游
566,疯狂水果,爱变现,奇奇乐捕鱼,聚享游,西游战记,享玩,6677捕鱼,多游
567,水果盛宴大狂欢,爱变现,爱玩斗地主,聚享游,疯狂水果,享玩,梦幻千炮捕鱼,多游
568,6677捕鱼,爱变现,疯狂的拍打,聚享游,别吃鸡,享玩,小猪酷跑,多游
569,醉天下,爱变现,水果盛宴大狂欢,聚享游,功夫鸡,享玩,幻想小勇士,多游
570,勇者阿信,爱变现,欢乐水果,聚享游,红心斗地主,享玩,功夫鸡,多游
571,暴击联盟,爱变现,醉天下,聚享游,特工使命,享玩,欢乐消水果,多游
572,天天捕鱼电玩版,爱变现,醉天下,聚享游,6677捕鱼,多游,梦幻水果,享玩
573,欢乐消水果,爱变现,欢乐水果,聚享游,醉天下,享玩,红心斗地主,多游
574,水果联盟,爱变现,勇者阿信,享玩,奇奇乐捕鱼,多游,水果盛宴大狂欢,聚享游
575,疯狂的拍打,爱变现,捕鱼来了街机版,多游,疯狂水果,享玩,欢乐水果,聚享游
576,功夫鸡,多游,梦幻水果,享玩,天天捕鱼电玩版,爱变现,爱玩斗地主,聚享游
577,疯狂的拍打,多游,西游战记,享玩,奇奇乐捕鱼,爱变现,爱玩斗地主,聚享游
578,水果武士,多游,水果联盟,享玩,触玩斗地主,爱变现,水果盛宴大狂欢,聚享游
579,欢乐消水果,享玩,八向箭头,多游,疯狂的拍打,爱变现,梦幻水果,聚享游
580,聚乐斗地主或美女斗地主,享玩,八向箭头,多游,6677捕鱼,爱变现,疯狂的拍打,聚享游
581,八向箭头,享玩,水果联盟,多游,疯狂水果,爱变现,天天捕鱼电玩版,聚享游
582,功夫鸡,享玩,欢乐消水果,爱变现,欢乐水果,多游,小猪酷跑,聚享游
583,别吃鸡,享玩,暴击联盟,多游,触玩斗地主,爱变现,功夫鸡,聚享游
584,大富翁电玩捕鱼,多游,八向箭头,享玩,6677捕鱼,爱变现,功夫鸡,聚享游
585,欢乐水果,多游,西游战记,享玩,疯狂的拍打,爱变现,欢乐消水果,聚享游
586,爱玩斗地主,多游,天天捕鱼电玩版,享玩,暴击联盟,爱变现,奇奇乐捕鱼,聚享游
587,幻想小勇士,享玩,小猪酷跑,多游,梦幻水果,爱变现,爱玩斗地主,聚享游
588,大富翁电玩捕鱼,多游,欢乐消水果,享玩,触玩斗地主,爱变现,勇者阿信,聚享游
589,疯狂的拍打,爱变现,别吃鸡,多游,醉天下,聚享游,红心斗地主,享玩
590,欢乐消水果,爱变现,西游战记,多游,小猪酷跑,享玩,天天捕鱼电玩版,聚享游
591,梦幻水果,爱变现,水果武士,多游,八向箭头,享玩,疯狂水果城,聚享游
592,疯狂的拍打,爱变现,八向箭头,多游,别吃鸡,享玩,欢乐水果,聚享游
593,聚乐斗地主或美女斗地主,爱变现,小猪酷跑,享玩,疯狂水果,多游,水果武士,聚享游
594,奇奇乐捕鱼,爱变现,小猪酷跑,享玩,红心斗地主,多游,聚乐斗地主或美女斗地主,聚享游
595,麻小宝,享玩,6677捕鱼,爱变现,小猪酷跑,聚享游,幻想小勇士,多游
596,疯狂水果,享玩,勇者阿信,爱变现,暴击联盟,聚享游,触玩斗地主,多游
597,梦幻水果,爱变现,聚乐斗地主或美女斗地主,享玩,幻想小勇士,聚享游,水果联盟,多游
598,欢乐消水果,爱变现,特工使命,享玩,奇奇乐捕鱼,聚享游,西游战记,多游
599,疯狂的拍打,爱变现,水果盛宴大狂欢,享玩,麻小宝,聚享游,欢乐消水果,多游
600,醉天下,享玩,水果联盟,爱变现,功夫鸡,聚享游,奇奇乐捕鱼,多游
